*************************************** Sortowanie babelkowe ***************************************

        N         1         2         3         4         5       œredna 
     4096: 0.001487  0.001440  0.001627  0.001427  0.001826      0.001562
     8192: 0.003594  0.004241  0.006490  0.004148  0.003220      0.004338
    16384: 0.007289  0.007639  0.006557  0.008793  0.009197      0.007895
    32768: 0.016895  0.017758  0.017415  0.013655  0.014690      0.016083
    65536: 0.031858  0.032023  0.030225  0.033561  0.041771      0.033887
   131072: 0.062644  0.063175  0.064226  0.061747  0.060397      0.062438
   262144: 0.130618  0.130788  0.132082  0.132259  0.131154      0.131380
   524288: 0.276290  0.277446  0.277903  0.276447  0.280469      0.277711
  1048576: 0.589940  0.599492  0.591117  0.584425  0.584027      0.589800
  2097152: 1.244940  1.224702  1.224902  1.228313  1.224669      1.229505
  4194304: 2.570176  2.558409  2.573837  2.572383  2.562778      2.567517
  8388608: 5.379831  5.361947  5.472138  5.832287  5.766920      5.562625
 16777216: 12.015955  12.128306  12.020982  12.081134  12.067088     12.062693
 33554432: 25.403926  25.045227  25.599744  25.304428  25.175541     25.305773

 ********************************* Sortowanie babelkowe - duplikaty *********************************

        N         1         2         3         4         5       œredna 
     1024: 0.003069  0.003627  0.003398  0.004661  0.003327      0.003616
     2048: 0.013827  0.027230  0.041095  0.028886  0.020633      0.026334
     4096: 0.090936  0.089072  0.080434  0.079182  0.065483      0.081021
     8192: 0.374166  0.340351  0.225983  0.223290  0.227156      0.278189
    16384: 0.903535  0.949644  0.877969  0.863089  0.921496      0.903147
    32768: 3.526251  3.417778  3.345228  3.447968  3.354344      3.418314
    65536: 13.185628  13.146574  14.494550  14.640878  14.558424     14.005211
   131072: 56.079036  56.606617  56.303338  55.808184  55.890713     56.137578

 ************************** Sortowanie przez proste wybieranie - duplikaty **************************

        N         1         2         3         4         5       œredna 
     1024: 0.001446  0.001454  0.001494  0.001593  0.001826      0.001563
     2048: 0.006239  0.005817  0.006091  0.006641  0.007226      0.006403
     4096: 0.033609  0.035315  0.039421  0.035497  0.031735      0.035115
     8192: 0.154032  0.205555  0.112266  0.112107  0.130454      0.142883
    16384: 0.494899  0.408560  0.422236  0.408800  0.402571      0.427413
    32768: 1.696497  1.630943  1.635194  1.615138  1.619473      1.639449
    65536: 6.837811  6.645190  6.639291  6.611743  6.649284      6.676664
   131072: 26.025222  26.335826  26.373732  26.389278  26.023103     26.229432
   262144: 108.327981  116.019760  108.792423  107.500811  109.744569    110.077109

 ************************** Sortowanie przez proste wstawianie - duplikaty **************************

        N         1         2         3         4         5       œredna 
     1024: 0.000004  0.000004  0.000004  0.000004  0.000004      0.000004
     2048: 0.000008  0.000007  0.000007  0.000008  0.000008      0.000008
     4096: 0.000016  0.000015  0.000016  0.000017  0.000031      0.000019
     8192: 0.000042  0.000030  0.000048  0.000038  0.000032      0.000038
    16384: 0.000063  0.000063  0.000062  0.000062  0.000062      0.000062
    32768: 0.000144  0.000121  0.000122  0.000123  0.000379      0.000178
    65536: 0.000253  0.000311  0.000484  0.000423  0.000411      0.000376
   131072: 0.000551  0.000486  0.002667  0.000607  0.000622      0.000986
   262144: 0.001281  0.001133  0.001028  0.001100  0.001058      0.001120
   524288: 0.002738  0.005421  0.002064  0.002865  0.002951      0.003208
  1048576: 0.004274  0.005081  0.004299  0.006753  0.004407      0.004963
  2097152: 0.008988  0.022418  0.008483  0.010666  0.008897      0.011890
  4194304: 0.022165  0.017836  0.018059  0.017444  0.020299      0.019161
  8388608: 0.042878  0.044016  0.039054  0.036016  0.039714      0.040336
 16777216: 0.073925  0.073751  0.070901  0.077788  0.070546      0.073382
 33554432: 0.154159  0.140895  0.143483  0.147419  0.148291      0.146849
 67108864: 0.316419  0.334731  0.277949  0.329175  0.317337      0.315122
  ********************************** Sortowanie Shella - duplikaty ***********************************

        N         1         2         3         4         5       œredna 
     1024: 0.000023  0.000022  0.000021  0.000020  0.000020      0.000021
     2048: 0.000048  0.000046  0.000046  0.000061  0.000075      0.000055
     4096: 0.000106  0.000126  0.000105  0.000106  0.000120      0.000113
     8192: 0.000306  0.000215  0.000219  0.000250  0.000507      0.000299
    16384: 0.000635  0.000510  0.000601  0.000603  0.000562      0.000582
    32768: 0.001678  0.004181  0.001184  0.001765  0.001162      0.001994
    65536: 0.002256  0.002251  0.003544  0.003609  0.003256      0.002983
   131072: 0.006514  0.006627  0.007179  0.005611  0.006868      0.006560
